Clave Entidad,Entidad federativa,Clave Municipio ,Municipio,Total,Procedentes,Improcedentes,Otro,No especificado
04,Campeche,005,Hecelchakán,NA,NA,NA,NA,NA
04,Campeche,006,Hopelchén,NA,NA,NA,NA,NA
04,Campeche,007,Palizada,NA,NA,NA,NA,NA
04,Campeche,008,Tenabo,   254,   200,   54,   0,   0
04,Campeche,009,Escárcega,NA,NA,NA,NA,NA
04,Campeche,010,Calakmul,NA,NA,NA,NA,NA
04,Campeche,011,Candelaria,  1 323,   735,   588,   0,   0
05,Coahuila de Zaragoza,000,,  3 770,  2 970,   72,   628,   100
05,Coahuila de Zaragoza,001,Abasolo,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,002,Acuña,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,003,Allende,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,004,Arteaga,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,005,Candela,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,006,Castaños,   720,   80,   12,   628,   0
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,008,Escobedo,ND,ND,ND,ND,ND
05,Coahuila de Zaragoza,009,Francisco I. Madero,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,010,Frontera,  1 950,  1 950,   0,   0,   0
05,Coahuila de Zaragoza,011,General Cepeda,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,012,Guerrero,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,013,Hidalgo,ND,ND,ND,ND,ND
05,Coahuila de Zaragoza,014,Jiménez,   400,   350,   50,   0,   0
05,Coahuila de Zaragoza,015,Juárez,ND,ND,ND,ND,ND
05,Coahuila de Zaragoza,016,Lamadrid,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,017,Matamoros,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,018,Monclova,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,019,Morelos,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,020,Múzquiz,   100,-,-,-,   100
05,Coahuila de Zaragoza,021,Nadadores,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,022,Nava,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,023,Ocampo,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,024,Parras,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,025,Piedras Negras,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,026,Progreso,ND,ND,ND,ND,ND
05,Coahuila de Zaragoza,027,Ramos Arizpe,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,028,Sabinas,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,029,Sacramento,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,030,Saltillo,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,031,San Buenaventura,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,032,San Juan de Sabinas,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,033,San Pedro,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,034,Sierra Mojada,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,035,Torreón,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,036,Viesca,   600,   590,   10,   0,   0
05,Coahuila de Zaragoza,037,Villa Unión,NA,NA,NA,NA,NA
05,Coahuila de Zaragoza,038,Zaragoza,NA,NA,NA,NA,NA
06,Colima,000,,-,-,-,-,-
06,Colima,001,Armería,-,-,-,-,-
06,Colima,002,Colima,-,-,-,-,-
06,Colima,003,Comala,NA,NA,NA,NA,NA
06,Colima,004,Coquimatlán,-,-,-,-,-
06,Colima,005,Cuauhtémoc,NA,NA,NA,NA,NA
06,Colima,006,Ixtlahuacán,NA,NA,NA,NA,NA
06,Colima,007,Manzanillo,NA,NA,NA,NA,NA
06,Colima,008,Minatitlán,NA,NA,NA,NA,NA
06,Colima,009,Tecomán,NA,NA,NA,NA,NA
06,Colima,010,Villa de Álvarez,-,-,-,-,-
07,Chiapas,000,,  452 353,  52 624,  366 070,  33 659,-
07,Chiapas,001,Acacoyagua,NA,NA,NA,NA,NA
07,Chiapas,002,Acala,NA,NA,NA,NA,NA
07,Chiapas,003,Acapetahua,NA,NA,NA,NA,NA
07,Chiapas,004,Altamirano,NA,NA,NA,NA,NA
07,Chiapas,005,Amatán,NA,NA,NA,NA,NA
07,Chiapas,006,Amatenango de la Frontera,NA,NA,NA,NA,NA
07,Chiapas,007,Amatenango del Valle,NA,NA,NA,NA,NA
07,Chiapas,008,Angel Albino Corzo,NA,NA,NA,NA,NA
07,Chiapas,009,Arriaga,  2 050,   700,  1 350,   0,   0
07,Chiapas,010,Bejucal de Ocampo,NA,NA,NA,NA,NA
07,Chiapas,011,Bella Vista,NA,NA,NA,NA,NA
07,Chiapas,012,Berriozábal,   228,   228,-,-,   0
07,Chiapas,013,Bochil,   42,   42,   0,   0,   0
07,Chiapas,014,El Bosque,NA,NA,NA,NA,NA
07,Chiapas,015,Cacahoatán,   986,   462,   524,   0,   0
07,Chiapas,016,Catazajá,NA,NA,NA,NA,NA
07,Chiapas,017,Cintalapa,-,-,-,-,-
07,Chiapas,018,Coapilla,NA,NA,NA,NA,NA
07,Chiapas,019,Comitán de Domínguez,NA,NA,NA,NA,NA
07,Chiapas,020,La Concordia,NA,NA,NA,NA,NA
07,Chiapas,021,Copainalá,NA,NA,NA,NA,NA
07,Chiapas,022,Chalchihuitán,NA,NA,NA,NA,NA
07,Chiapas,023,Chamula,NA,NA,NA,NA,NA
07,Chiapas,024,Chanal,NA,NA,NA,NA,NA
07,Chiapas,025,Chapultenango,NA,NA,NA,NA,NA
07,Chiapas,026,Chenalhó,NA,NA,NA,NA,NA
07,Chiapas,027,Chiapa de Corzo,NA,NA,NA,NA,NA
07,Chiapas,028,Chiapilla,NA,NA,NA,NA,NA
07,Chiapas,029,Chicoasén,NA,NA,NA,NA,NA
07,Chiapas,030,Chicomuselo,NA,NA,NA,NA,NA
07,Chiapas,031,Chilón,   80,   70,   10,   0,   0
07,Chiapas,032,Escuintla,   635,   635,   0,   0,   0
07,Chiapas,033,Francisco León,NA,NA,NA,NA,NA
07,Chiapas,034,Frontera Comalapa,   100,   100,   0,   0,   0
07,Chiapas,035,Frontera Hidalgo,   90,   80,   10,   0,   0
07,Chiapas,036,La Grandeza,NA,NA,NA,NA,NA
07,Chiapas,037,Huehuetán,  4 976,  2 676,  2 300,   0,   0
07,Chiapas,038,Huixtán,NA,NA,NA,NA,NA
07,Chiapas,039,Huitiupán,-,-,   0,   0,-
07,Chiapas,040,Huixtla,NA,NA,NA,NA,NA
07,Chiapas,041,La Independencia,NA,NA,NA,NA,NA
07,Chiapas,042,Ixhuatán,NA,NA,NA,NA,NA
07,Chiapas,043,Ixtacomitán,NA,NA,NA,NA,NA
07,Chiapas,044,Ixtapa,   8,   2,   6,   0,   0
07,Chiapas,045,Ixtapangajoya,NA,NA,NA,NA,NA
07,Chiapas,046,Jiquipilas,   600,   50,   550,   0,   0
07,Chiapas,047,Jitotol,NA,NA,NA,NA,NA
07,Chiapas,048,Juárez,NA,NA,NA,NA,NA
07,Chiapas,049,Larráinzar,NA,NA,NA,NA,NA
07,Chiapas,050,La Libertad,NA,NA,NA,NA,NA
07,Chiapas,051,Mapastepec,  1 000,   200,   800,   0,   0
07,Chiapas,052,Las Margaritas,  1 841,  1 219,   622,   0,   0
07,Chiapas,053,Mazapa de Madero,NA,NA,NA,NA,NA
07,Chiapas,054,Mazatán,NA,NA,NA,NA,NA
07,Chiapas,055,Metapa,NA,NA,NA,NA,NA
07,Chiapas,056,Mitontic,NA,NA,NA,NA,NA
07,Chiapas,057,Motozintla,NA,NA,NA,NA,NA
07,Chiapas,058,Nicolás Ruíz,NA,NA,NA,NA,NA
07,Chiapas,059,Ocosingo,  19 426,  6 096,  13 330,   0,   0
07,Chiapas,060,Ocotepec,NA,NA,NA,NA,NA
07,Chiapas,061,Ocozocoautla de Espinosa,NA,NA,NA,NA,NA
07,Chiapas,062,Ostuacán,NA,NA,NA,NA,NA
07,Chiapas,063,Osumacinta,NA,NA,NA,NA,NA
07,Chiapas,064,Oxchuc,NA,NA,NA,NA,NA
07,Chiapas,065,Palenque,  240 000,  27 266,  212 734,   0,   0
07,Chiapas,066,Pantelhó,NA,NA,NA,NA,NA
07,Chiapas,067,Pantepec,NA,NA,NA,NA,NA
07,Chiapas,068,Pichucalco,NA,NA,NA,NA,NA
07,Chiapas,069,Pijijiapan,NA,NA,NA,NA,NA
07,Chiapas,070,El Porvenir,NA,NA,NA,NA,NA
07,Chiapas,071,Villa Comaltitlán,NA,NA,NA,NA,NA
07,Chiapas,072,Pueblo Nuevo Solistahuacán,NA,NA,NA,NA,NA
07,Chiapas,073,Rayón,NA,NA,NA,NA,NA
07,Chiapas,074,Reforma,  1 300,  1 200,   100,   0,   0
07,Chiapas,075,Las Rosas,NA,NA,NA,NA,NA
07,Chiapas,076,Sabanilla,NA,NA,NA,NA,NA
07,Chiapas,077,Salto de Agua,   43,   43,   0,   0,   0
07,Chiapas,078,San Cristóbal de las Casas,NA,NA,NA,NA,NA
07,Chiapas,079,San Fernando,   60,   48,   12,   0,   0
07,Chiapas,080,Siltepec,   151,   119,   32,   0,   0
07,Chiapas,081,Simojovel,   5,   5,   0,   0,   0
07,Chiapas,082,Sitalá,NA,NA,NA,NA,NA
07,Chiapas,083,Socoltenango,NA,NA,NA,NA,NA
07,Chiapas,084,Solosuchiapa,   800,   800,   0,   0,   0
07,Chiapas,085,Soyaló,   26,   0,   26,   0,   0
07,Chiapas,086,Suchiapa,   300,   280,   20,   0,   0
07,Chiapas,087,Suchiate,NA,NA,NA,NA,NA
07,Chiapas,088,Sunuapa,NA,NA,NA,NA,NA
07,Chiapas,089,Tapachula,NA,NA,NA,NA,NA
07,Chiapas,090,Tapalapa,NA,NA,NA,NA,NA
07,Chiapas,091,Tapilula,NA,NA,NA,NA,NA
07,Chiapas,092,Tecpatán,NA,NA,NA,NA,NA
07,Chiapas,093,Tenejapa,NA,NA,NA,NA,NA
07,Chiapas,094,Teopisca,   80,   70,   10,   0,   0
07,Chiapas,096,Tila,NA,NA,NA,NA,NA
07,Chiapas,097,Tonalá,  4 428,  3 520,   908,   0,   0
07,Chiapas,098,Totolapa,NA,NA,NA,NA,NA
07,Chiapas,099,La Trinitaria,NA,NA,NA,NA,NA
07,Chiapas,100,Tumbalá,NA,NA,NA,NA,NA
07,Chiapas,101,Tuxtla Gutiérrez,NA,NA,NA,NA,NA
07,Chiapas,102,Tuxtla Chico,   741,   741,   0,   0,   0
07,Chiapas,103,Tuzantán,   110,   55,   35,   20,   0
07,Chiapas,104,Tzimol,NA,NA,NA,NA,NA
07,Chiapas,105,Unión Juárez,NA,NA,NA,NA,NA
07,Chiapas,106,Venustiano Carranza,NA,NA,NA,NA,NA
07,Chiapas,107,Villa Corzo,   881,   518,   163,   200,   0
07,Chiapas,108,Villaflores,  171 366,  5 399,  132 528,  33 439,   0
07,Chiapas,109,Yajalón,NA,NA,NA,NA,NA
07,Chiapas,110,San Lucas,NA,NA,NA,NA,NA
07,Chiapas,111,Zinacantán,NA,NA,NA,NA,NA
07,Chiapas,112,San Juan Cancuc,NA,NA,NA,NA,NA
07,Chiapas,113,Aldama,NA,NA,NA,NA,NA
07,Chiapas,114,Benemérito de las Américas,NA,NA,NA,NA,NA
07,Chiapas,115,Maravilla Tenejapa,NA,NA,NA,NA,NA
07,Chiapas,116,Marqués de Comillas,NA,NA,NA,NA,NA
07,Chiapas,117,Montecristo de Guerrero,NA,NA,NA,NA,NA
07,Chiapas,118,San Andrés Duraznal,NA,NA,NA,NA,NA
07,Chiapas,119,Santiago el Pinar,NA,NA,NA,NA,NA
07,Chiapas,120,Capitán Luis Ángel Vidal,NA,NA,NA,NA,NA
07,Chiapas,121,Rincón Chamula San Pedro,NA,NA,NA,NA,NA
07,Chiapas,122,El Parral,NA,NA,NA,NA,NA
07,Chiapas,123,Emiliano Zapata,NA,NA,NA,NA,NA
07,Chiapas,124,Mezcalapa,NA,NA,NA,NA,NA
07,Chiapas,125,Honduras de la Sierra,NA,NA,NA,NA,NA
08,Chihuahua,000,, 2 901 198,  856 661, 2 044 537,-,-
08,Chihuahua,001,Ahumada,NA,NA,NA,NA,NA
08,Chihuahua,002,Aldama,NA,NA,NA,NA,NA
08,Chihuahua,003,Allende,   45,   45,   0,   0,   0
08,Chihuahua,004,Aquiles Serdán,-,-,-,-,-
08,Chihuahua,005,Ascensión,   158,   148,   10,   0,   0
08,Chihuahua,006,Bachíniva,-,-,-,-,-
08,Chihuahua,007,Balleza,   0,   0,   0,   0,   0
08,Chihuahua,008,Batopilas,NA,NA,NA,NA,NA
08,Chihuahua,009,Bocoyna,NA,NA,NA,NA,NA
08,Chihuahua,010,Buenaventura,   179,   179,   0,   0,   0
08,Chihuahua,011,Camargo,  54 743,  21 734,  33 009,   0,   0
08,Chihuahua,012,Carichí,   0,   0,   0,   0,   0
08,Chihuahua,013,Casas Grandes,NA,NA,NA,NA,NA
08,Chihuahua,014,Coronado,NA,NA,NA,NA,NA
08,Chihuahua,015,Coyame del Sotol,   750,   675,   75,   0,   0
08,Chihuahua,016,La Cruz,NA,NA,NA,NA,NA
08,Chihuahua,017,Cuauhtémoc,  196 088,  50 846,  145 242,   0,   0
08,Chihuahua,018,Cusihuiriachi,NA,NA,NA,NA,NA
08,Chihuahua,019,Chihuahua, 1 029 153,  333 763,  695 390,   0,   0
08,Chihuahua,020,Chínipas,NA,NA,NA,NA,NA
08,Chihuahua,021,Delicias,  22 398,  9 765,  12 633,   0,   0
08,Chihuahua,022,Dr. Belisario Domínguez,NA,NA,NA,NA,NA
08,Chihuahua,023,Galeana,ND,ND,ND,ND,ND
08,Chihuahua,024,Santa Isabel,-,-,-,-,-
08,Chihuahua,025,Gómez Farías,ND,ND,ND,ND,ND
08,Chihuahua,026,Gran Morelos,   20,   20,   0,   0,   0
08,Chihuahua,027,Guachochi,NA,NA,NA,NA,NA
08,Chihuahua,028,Guadalupe,ND,ND,ND,ND,ND
08,Chihuahua,029,Guadalupe y Calvo,NA,NA,NA,NA,NA
08,Chihuahua,030,Guazapares,NA,NA,NA,NA,NA
08,Chihuahua,031,Guerrero,   236,   226,   10,   0,   0
08,Chihuahua,032,Hidalgo del Parral,  173 588,  48 070,  125 518,   0,   0
08,Chihuahua,033,Huejotitán,NA,NA,NA,NA,NA
08,Chihuahua,034,Ignacio Zaragoza,ND,ND,ND,ND,ND
08,Chihuahua,035,Janos,NA,NA,NA,NA,NA
08,Chihuahua,036,Jiménez,  5 811,  3 319,  2 492,   0,   0
08,Chihuahua,037,Juárez, 1 253 092,  341 568,  911 524,NA,   0
08,Chihuahua,038,Julimes,NA,NA,NA,NA,NA
08,Chihuahua,039,López,NA,NA,NA,NA,NA
08,Chihuahua,040,Madera,NA,NA,NA,NA,NA
08,Chihuahua,041,Maguarichi,NA,NA,NA,NA,NA
08,Chihuahua,042,Manuel Benavides,NA,NA,NA,NA,NA
08,Chihuahua,043,Matachí,NA,NA,NA,NA,NA
08,Chihuahua,044,Matamoros,NA,NA,NA,NA,NA
08,Chihuahua,045,Meoqui,  13 570,  9 450,  4 120,   0,   0
08,Chihuahua,046,Morelos,NA,NA,NA,NA,NA
08,Chihuahua,047,Moris,NA,NA,NA,NA,NA
08,Chihuahua,048,Namiquipa,NA,NA,NA,NA,NA
08,Chihuahua,049,Nonoava,NA,NA,NA,NA,NA
08,Chihuahua,050,Nuevo Casas Grandes,  120 385,  19 291,  101 094,   0,   0
08,Chihuahua,051,Ocampo,NA,NA,NA,NA,NA
08,Chihuahua,052,Ojinaga,  18 089,  5 190,  12 899,NA,   0
08,Chihuahua,053,Praxedis G. Guerrero,ND,ND,ND,ND,ND
08,Chihuahua,054,Riva Palacio,   9,   9,   0,   0,   0
08,Chihuahua,055,Rosales,NA,NA,NA,NA,NA
08,Chihuahua,056,Rosario,NA,NA,NA,NA,NA
08,Chihuahua,057,San Francisco de Borja,NA,NA,NA,NA,NA
08,Chihuahua,058,San Francisco de Conchos,NA,NA,NA,NA,NA
08,Chihuahua,059,San Francisco del Oro,NA,NA,NA,NA,NA
08,Chihuahua,060,Santa Bárbara,NA,NA,NA,NA,NA
08,Chihuahua,061,Satevó,NA,NA,NA,NA,NA
08,Chihuahua,062,Saucillo,  12 884,  12 363,   521,   0,   0
08,Chihuahua,063,Temósachic,NA,NA,NA,NA,NA
08,Chihuahua,064,El Tule,NA,NA,NA,NA,NA
08,Chihuahua,065,Urique,NA,NA,NA,NA,NA
08,Chihuahua,066,Uruachi,NA,NA,NA,NA,NA
08,Chihuahua,067,Valle de Zaragoza,NA,NA,NA,NA,NA
09,Ciudad de México,000,,NA,NA,NA,NA,NA
09,Ciudad de México,002,Azcapotzalco,NA,NA,NA,NA,NA
09,Ciudad de México,003,Coyoacán,NA,NA,NA,NA,NA
09,Ciudad de México,004,Cuajimalpa de Morelos,NA,NA,NA,NA,NA
09,Ciudad de México,005,Gustavo A. Madero,NA,NA,NA,NA,NA
09,Ciudad de México,006,Iztacalco,NA,NA,NA,NA,NA
09,Ciudad de México,007,Iztapalapa,NA,NA,NA,NA,NA
09,Ciudad de México,008,La Magdalena Contreras,NA,NA,NA,NA,NA
09,Ciudad de México,009,Milpa Alta,NA,NA,NA,NA,NA
09,Ciudad de México,010,Álvaro Obregón,NA,NA,NA,NA,NA
09,Ciudad de México,011,Tláhuac,NA,NA,NA,NA,NA
09,Ciudad de México,012,Tlalpan,NA,NA,NA,NA,NA
09,Ciudad de México,013,Xochimilco,NA,NA,NA,NA,NA
09,Ciudad de México,014,Benito Juárez,NA,NA,NA,NA,NA
09,Ciudad de México,015,Cuauhtémoc,NA,NA,NA,NA,NA
09,Ciudad de México,016,Miguel Hidalgo,NA,NA,NA,NA,NA
09,Ciudad de México,017,Venustiano Carranza,NA,NA,NA,NA,NA
10,Durango,000,,  24 888,  18 444,  6 424,   20,-
10,Durango,001,Canatlán,NA,NA,NA,NA,NA
10,Durango,002,Canelas,NA,NA,NA,NA,NA
10,Durango,003,Coneto de Comonfort,NA,NA,NA,NA,NA
10,Durango,004,Cuencamé,NA,NA,NA,NA,NA
10,Durango,005,Durango,NA,NA,NA,NA,NA
10,Durango,006,General Simón Bolívar,NA,NA,NA,NA,NA
10,Durango,007,Gómez Palacio,  23 683,  17 288,  6 395,   0,   0
10,Durango,008,Guadalupe Victoria,NA,NA,NA,NA,NA
10,Durango,009,Guanaceví,NA,NA,NA,NA,NA
10,Durango,010,Hidalgo,NA,NA,NA,NA,NA
10,Durango,011,Indé,NA,NA,NA,NA,NA
10,Durango,012,Lerdo,-,-,-,-,-
10,Durango,013,Mapimí,   273,   273,   0,   0,   0
10,Durango,014,Mezquital,NA,NA,NA,NA,NA
10,Durango,015,Nazas,NA,NA,NA,NA,NA
10,Durango,016,Nombre de Dios,   289,   280,   9,   0,   0
10,Durango,017,Ocampo,NA,NA,NA,NA,NA
10,Durango,018,El Oro,NA,NA,NA,NA,NA
10,Durango,019,Otáez,NA,NA,NA,NA,NA
10,Durango,020,Pánuco de Coronado,NA,NA,NA,NA,NA
10,Durango,021,Peñón Blanco,NA,NA,NA,NA,NA
10,Durango,022,Poanas,   450,   430,   20,   0,   0
10,Durango,023,Pueblo Nuevo,NA,NA,NA,NA,NA
10,Durango,024,Rodeo,NA,NA,NA,NA,NA
10,Durango,025,San Bernardo,NA,NA,NA,NA,NA
10,Durango,026,San Dimas,NA,NA,NA,NA,NA
10,Durango,027,San Juan de Guadalupe,   3,   3,   0,   0,   0
10,Durango,028,San Juan del Río,   120,   120,   0,   0,   0
10,Durango,029,San Luis del Cordero,NA,NA,NA,NA,NA
10,Durango,030,San Pedro del Gallo,NA,NA,NA,NA,NA
10,Durango,031,Santa Clara,   50,   30,   0,   20,   0
10,Durango,032,Santiago Papasquiaro,-,-,-,-,-
10,Durango,033,Súchil,NA,NA,NA,NA,NA
10,Durango,034,Tamazula,NA,NA,NA,NA,NA
10,Durango,035,Tepehuanes,NA,NA,NA,NA,NA
10,Durango,036,Tlahualilo,   20,   20,   0,   0,   0
10,Durango,037,Topia,NA,NA,NA,NA,NA
10,Durango,038,Vicente Guerrero,-,-,-,-,-
10,Durango,039,Nuevo Ideal,NA,NA,NA,NA,NA
11,Guanajuato,000,, 4 533 044, 1 207 323, 3 168 303,  141 825,  15 593
11,Guanajuato,001,Abasolo,  46 922,  1 491,  45 431,   0,   0
11,Guanajuato,002,Acámbaro,-,-,-,-,-
11,Guanajuato,003,San Miguel de Allende,  80 085,  5 422,  74 663,   0,   0
11,Guanajuato,004,Apaseo el Alto,-,-,-,-,-
11,Guanajuato,005,Apaseo el Grande,  75 187,  2 819,  72 368,   0,   0
11,Guanajuato,006,Atarjea,NA,NA,NA,NA,NA
11,Guanajuato,007,Celaya,  430 173,  128 803,  301 370,   0,   0
11,Guanajuato,008,Manuel Doblado,-,-,-,-,-
11,Guanajuato,009,Comonfort,  75 861,  9 138,  66 723,   0,   0
11,Guanajuato,010,Coroneo,  7 712,   107,  7 605,   0,   0
11,Guanajuato,011,Cortazar,   0,   0,   0,   0,   0
11,Guanajuato,012,Cuerámaro,  7 861,  1 776,  6 085,   0,   0
11,Guanajuato,013,Doctor Mora,  18 241,  1 397,  16 844,   0,   0
11,Guanajuato,014,Dolores Hidalgo Cuna de la Independencia Nacional,  94 038,  15 868,  78 170,   0,   0
11,Guanajuato,015,Guanajuato,  209 855,  15 556,  52 474,  141 825,   0
11,Guanajuato,016,Huanímaro,  7 650,   91,  7 559,   0,   0
11,Guanajuato,017,Irapuato,  549 963,  132 683,  417 280,   0,   0
11,Guanajuato,018,Jaral del Progreso,  28 686,  4 305,  24 381,   0,   0
11,Guanajuato,019,Jerécuaro,-,-,-,-,-
11,Guanajuato,020,León, 1 760 588,  678 923, 1 081 665,   0,   0
11,Guanajuato,021,Moroleón,  12 066,  7 932,  4 134,   0,   0
11,Guanajuato,022,Ocampo,   284,   284,   0,   0,   0
11,Guanajuato,023,Pénjamo,  99 076,  40 218,  58 858,   0,   0
11,Guanajuato,024,Pueblo Nuevo,  2 100,   960,  1 140,   0,   0
11,Guanajuato,025,Purísima del Rincón,-,-,-,-,-
11,Guanajuato,026,Romita,  3 730,  2 730,  1 000,   0,   0
11,Guanajuato,027,Salamanca,  157 753,  54 334,  103 419,   0,   0
11,Guanajuato,028,Salvatierra,  92 601,  12 805,  79 796,   0,   0
11,Guanajuato,029,San Diego de la Unión,  31 303,  3 241,  28 062,   0,   0
11,Guanajuato,030,San Felipe,-,-,-,-,-
11,Guanajuato,031,San Francisco del Rincón,  171 001,  30 897,  140 104,   0,   0
11,Guanajuato,032,San José Iturbide,  84 050,  3 053,  80 997,   0,   0
11,Guanajuato,033,San Luis de la Paz,NA,NA,NA,NA,NA
11,Guanajuato,034,Santa Catarina,  2 783,   28,  2 755,   0,   0
11,Guanajuato,035,Santa Cruz de Juventino Rosas,  24 957,  7 624,  17 333,   0,   0
11,Guanajuato,036,Santiago Maravatío,  63 838,   808,  63 030,   0,   0
11,Guanajuato,037,Silao de la Victoria,  180 849,   34,  165 222,   0,  15 593
11,Guanajuato,038,Tarandacuao,NA,NA,NA,NA,NA
11,Guanajuato,039,Tarimoro,  2 526,  1 263,  1 263,   0,   0
11,Guanajuato,040,Tierra Blanca,   260,   70,   190,   0,   0
11,Guanajuato,041,Uriangato,  58 401,  19 478,  38 923,   0,   0
11,Guanajuato,042,Valle de Santiago,  107 761,  15 561,  92 200,   0,   0
11,Guanajuato,043,Victoria,  3 802,   162,  3 640,   0,   0
11,Guanajuato,044,Villagrán,   666,   666,   0,   0,   0
11,Guanajuato,045,Xichú,NA,NA,NA,NA,NA
11,Guanajuato,046,Yuriria,  40 415,  6 796,  33 619,   0,   0
12,Guerrero,000,,  7 197,  5 414,  1 429,   354,   0
12,Guerrero,001,Acapulco de Juárez,  2 051,  1 218,   833,   0,   0
12,Guerrero,002,Ahuacuotzingo,NA,NA,NA,NA,NA
12,Guerrero,003,Ajuchitlán del Progreso,NA,NA,NA,NA,NA
12,Guerrero,004,Alcozauca de Guerrero,NA,NA,NA,NA,NA
12,Guerrero,005,Alpoyeca,NA,NA,NA,NA,NA
12,Guerrero,006,Apaxtla,NA,NA,NA,NA,NA
12,Guerrero,007,Arcelia,NA,NA,NA,NA,NA
12,Guerrero,008,Atenango del Río,NA,NA,NA,NA,NA
12,Guerrero,009,Atlamajalcingo del Monte,NA,NA,NA,NA,NA
12,Guerrero,010,Atlixtac,NA,NA,NA,NA,NA
12,Guerrero,011,Atoyac de Álvarez,   98,   94,   4,   0,   0
12,Guerrero,012,Ayutla de los Libres,NA,NA,NA,NA,NA
12,Guerrero,013,Azoyú,   85,   75,   10,   0,   0
12,Guerrero,014,Benito Juárez,   90,   70,   20,   0,   0
12,Guerrero,015,Buenavista de Cuéllar,   9,   9,   0,   0,   0
12,Guerrero,016,Coahuayutla de José María Izazaga,NA,NA,NA,NA,NA
12,Guerrero,017,Cocula,NA,NA,NA,NA,NA
12,Guerrero,018,Copala,NA,NA,NA,NA,NA
12,Guerrero,019,Copalillo,NA,NA,NA,NA,NA
12,Guerrero,020,Copanatoyac,NA,NA,NA,NA,NA
12,Guerrero,021,Coyuca de Benítez,   80,   60,   20,   0,   0
12,Guerrero,022,Coyuca de Catalán,NA,NA,NA,NA,NA
12,Guerrero,023,Cuajinicuilapa,NA,NA,NA,NA,NA
